New Repo Check

Env. variable "spring.datasource.url=${JDBC_DATABASE_URL}" in file "\main\resources\application.properties"
Env. variable "spring.datasource.username=${JDBC_USERNAME}" in file "\main\resources\application.properties"
Env. variable "spring.datasource.password=${JDBC_PASSWORD}" in file "\main\resources\application.properties"
Env. variable "app.secret-key=${TOKEN_SECRET}" in file "\main\resources\application.properties"
Annotation "@PathVariable" in file "\main\java\dk\kea\security\api\UserWithRoleController.java"
Annotation "@Setter" in file "\main\java\dk\kea\security\dto\LoginRequest.java"
Annotation "@AllArgsConstructor" in file "\main\java\dk\kea\security\dto\LoginRequest.java"
Annotation "@Setter" in file "\main\java\dk\kea\security\dto\UserWithRolesRequest.java"
Annotation "@Getter" in file "\main\java\dk\kea\security\dto\UserWithRolesRequest.java"
Annotation "@NoArgsConstructor" in file "\main\java\dk\kea\security\dto\UserWithRolesRequest.java"
Annotation "@AllArgsConstructor" in file "\main\java\dk\kea\security\dto\UserWithRolesRequest.java"
Annotation "@NonNull" in file "\main\java\dk\kea\security\dto\UserWithRolesRequest.java"
Annotation "@NoArgsConstructor" in file "\main\java\dk\kea\security\dto\LoginRequest.java"
Annotation "@Setter" in file "\main\java\dk\kea\security\dto\LoginResponse.java"
Annotation "@NonNull" in file "\main\java\dk\kea\security\dto\UserWithRolesRequest.java"
Annotation "@Getter" in file "\main\java\dk\kea\security\dto\LoginResponse.java"
Annotation "@NonNull" in file "\main\java\dk\kea\security\dto\UserWithRolesRequest.java"
Annotation "@NoArgsConstructor" in file "\main\java\dk\kea\security\dto\LoginResponse.java"
Annotation "@EnableWebSecurity" in file "\main\java\dk\kea\security\config\SecurityConfig.java"
Annotation "@EnableMethodSecurity" in file "\main\java\dk\kea\security\config\SecurityConfig.java"
Annotation "@Autowired" in file "\main\java\dk\kea\security\config\SecurityConfig.java"
Annotation "@Configuration" in file "\main\java\dk\kea\security\config\SecurityConfig.java"
Annotation "@PreAuthorize" in file "\main\java\dk\kea\security\config\SecurityConfig.java"
Annotation "@Value" in file "\main\java\dk\kea\security\config\SecurityConfig.java"
Annotation "@Bean" in file "\main\java\dk\kea\security\config\SecurityConfig.java"
Annotation "@Bean" in file "\main\java\dk\kea\security\config\SecurityConfig.java"
Annotation "@Bean" in file "\main\java\dk\kea\security\config\SecurityConfig.java"
Annotation "@Bean" in file "\main\java\dk\kea\security\config\SecurityConfig.java"
Annotation "@Getter" in file "\main\java\dk\kea\security\dto\UserWithRolesResponse.java"
Annotation "@Bean" in file "\main\java\dk\kea\security\config\SecurityConfig.java"
Annotation "@Bean" in file "\main\java\dk\kea\security\config\SecurityConfig.java"
Annotation "@Bean" in file "\main\java\dk\kea\security\config\SecurityConfig.java"
Annotation "@Setter" in file "\main\java\dk\kea\security\dto\UserWithRolesResponse.java"
Annotation "@Bean" in file "\main\java\dk\kea\security\config\CorsConfig.java"
Annotation "@Configuration" in file "\main\java\dk\kea\security\config\CorsConfig.java"
Annotation "@Override" in file "\main\java\dk\kea\security\error\CustomOAuth2AuthenticationEntryPoint.java"
Annotation "@Configurable" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Column" in file "\main\java\dk\kea\security\entity\Role.java"
Annotation "@Override" in file "\main\java\dk\kea\security\error\CustomOAuth2AccessDeniedHandler.java"
Annotation "@Getter" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Setter" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@ToString" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@AllArgsConstructor" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@DiscriminatorColumn" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Transient" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Entity" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Id" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Column" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Inheritance" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@CreationTimestamp" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@UpdateTimestamp" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Column" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Column" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Column" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Enumerated" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@ElementCollection" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@CollectionTable" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Override" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Override" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Override" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Override" in file "\main\java\dk\kea\security\entity\UserWithRoles.java"
Annotation "@Setter" in file "\main\java\dk\kea\quickbook\entity\Guest.java"
Annotation "@NoArgsConstructor" in file "\main\java\dk\kea\quickbook\entity\Guest.java"
Annotation "@Getter" in file "\main\java\dk\kea\quickbook\entity\Guest.java"
Annotation "@Inheritance" in file "\main\java\dk\kea\quickbook\entity\Guest.java"
Annotation "@Entity" in file "\main\java\dk\kea\quickbook\entity\Guest.java"
Annotation "@DiscriminatorColumn" in file "\main\java\dk\kea\quickbook\entity\Guest.java"
Annotation "@Column" in file "\main\java\dk\kea\quickbook\entity\Guest.java"
Annotation "@OneToMany" in file "\main\java\dk\kea\quickbook\entity\Guest.java"
Annotation "@Column" in file "\main\java\dk\kea\quickbook\entity\Guest.java"
Annotation "@Service" in file "\main\java\dk\kea\security\service\UserWithRolesService.java"
Annotation "@Column" in file "\main\java\dk\kea\quickbook\entity\Guest.java"
Annotation "@return" in file "\main\java\dk\kea\security\service\UserWithRolesService.java"
Annotation "@param" in file "\main\java\dk\kea\security\service\UserWithRolesService.java"
Annotation "@param" in file "\main\java\dk\kea\security\service\UserWithRolesService.java"
Annotation "@Configuration" in file "\main\java\dk\kea\quickbook\config\DeveloperData.java"
Annotation "@Override" in file "\main\java\dk\kea\quickbook\config\DeveloperData.java"
Annotation "@test" in file "\main\java\dk\kea\quickbook\config\DeveloperData.java"
Annotation "@admin" in file "\main\java\dk\kea\quickbook\config\DeveloperData.java"
Annotation "@Getter" in file "\main\java\dk\kea\security\for_security_tests\ControllerToTestRoles.java"
Annotation "@guest" in file "\main\java\dk\kea\quickbook\config\DeveloperData.java"
Annotation "@RestController" in file "\main\java\dk\kea\security\for_security_tests\ControllerToTestRoles.java"
Annotation "@Setter" in file "\main\java\dk\kea\security\for_security_tests\ControllerToTestRoles.java"
Annotation "@Profile" in file "\main\java\dk\kea\security\for_security_tests\ControllerToTestRoles.java"
Annotation "@RequestMapping" in file "\main\java\dk\kea\security\for_security_tests\ControllerToTestRoles.java"
Annotation "@PreAuthorize" in file "\main\java\dk\kea\security\for_security_tests\ControllerToTestRoles.java"
Annotation "@GetMapping" in file "\main\java\dk\kea\security\for_security_tests\ControllerToTestRoles.java"
Annotation "@PreAuthorize" in file "\main\java\dk\kea\security\for_security_tests\ControllerToTestRoles.java"
Annotation "@PreAuthorize" in file "\main\java\dk\kea\security\for_security_tests\ControllerToTestRoles.java"
Annotation "@GetMapping" in file "\main\java\dk\kea\security\for_security_tests\ControllerToTestRoles.java"
Annotation "@GetMapping" in file "\main\java\dk\kea\security\for_security_tests\ControllerToTestRoles.java"
Annotation "@Service" in file "\main\java\dk\kea\security\service\UserDetailsServiceImp.java"
Annotation "@GetMapping" in file "\main\java\dk\kea\security\for_security_tests\ControllerToTestRoles.java"
Annotation "@Override" in file "\main\java\dk\kea\security\service\UserDetailsServiceImp.java"
